,1101 猟,1216 参,1301 鹅,1402 环狥穝,2002 い葵,2105 タ穝,2912 参禬,9904 腳Θ,6505 鹅て,2303 羛筿,2330 縩筿,2408 玭ㄈ,2357 地河,3008 ミ,3481 竤承,2412 い地筿,2308 笷筿,2327 瓣エ,2317 翬,2474 Θ
るら,Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ)
2018/5/8,35.85,64.93,100.13,27.38,22.57,44.39,271.69,34.96,115.28,15.21,219.98,90.22,264.62,"3,925.07",10.86,107.18,109.27,591.69,97.86,324.82
2018/5/9,35.68,64.09,100.13,27.28,22.62,44.2,267.99,35.39,114.33,15.55,221.43,90.6,261.31,"3,934.90",10.81,105.27,107.84,633.72,96.91,326.75
2018/5/10,36.12,65.39,100.61,27.18,22.62,44.2,278.64,35.15,116.7,15.31,221.43,89.83,263.67,"3,915.23",10.62,103.83,109.75,696.35,98.21,326.75
2018/5/11,36.25,65.11,102.98,27.33,22.71,44.44,280.49,35.48,119.07,15.5,224.81,91.75,263.67,"4,008.68",10.76,104.31,108.79,683.98,100.7,334.48
2018/5/14,37.92,66.97,105.35,27.23,22.67,44.1,279.56,35.48,119.07,15.74,224.81,91.47,263.67,"4,136.57",10.76,104.31,110.23,752.38,105.44,343.18
2018/5/15,38.22,66.97,104.88,27.13,22.52,43.24,283.73,35.48,116.23,15.79,222.39,91.66,258,"4,023.44",10.72,103.83,109.75,824.08,101.89,334.97
2018/5/16,40.33,67.44,105.35,27.18,22.67,42.76,284.65,35.39,117.17,15.64,222.39,98.38,261.78,"3,984.09",10.76,103.35,110.23,763.1,100.23,333.52
2018/5/17,40.11,65.77,105.83,27.13,22.52,43.1,282.34,34.92,119.07,15.4,218.54,97.42,261.31,"3,856.21",10.76,103.83,108.32,695.52,99.75,329.65
2018/5/18,40.03,66.42,106.3,27.62,22.57,43.1,288.82,34.25,117.65,15.4,215.64,94.92,262.73,"3,944.74",10.67,105.27,108.79,730.13,99.4,330.62
2018/5/21,40.42,66.7,106.77,27.91,22.57,43.82,287.43,34.63,119.07,15.4,220.95,95.02,263.67,"3,974.25",10.76,105.27,112.13,802.65,100.7,344.15
2018/5/22,40.07,66.79,103.93,27.86,22.47,44.78,282.8,34.3,118.6,15.55,220.95,93.29,259.89,"3,915.23",10.81,104.79,109.27,802.65,99.52,343.18
2018/5/23,38.75,66.97,104.4,28.15,22.38,44.78,284.65,34.35,115.75,15.55,220.46,95.3,261.31,"3,856.21",10.81,104.79,107.36,727.66,99.04,331.1
2018/5/24,39.32,67.07,105.35,28.19,22.42,44.3,287.89,34.44,116.23,15.55,220.95,97.9,262.25,"3,934.90",10.76,104.79,107.36,752.38,99.64,331.1
2018/5/25,38.58,67.35,102.98,27.71,22.52,44.06,285.12,34.25,116.23,15.59,220.46,96.46,259.42,"3,929.99",10.67,105.27,109.75,798.53,102.48,335.93
2018/5/28,38.62,68.18,104.4,27.66,22.57,43.82,284.19,34.49,114.8,15.74,219.02,95.3,262.25,"4,018.52",10.72,106.23,108.32,877.64,105.2,333.52
2018/5/29,38.14,68.37,104.4,27.76,22.57,43.77,286.04,34.4,114.33,15.79,217.09,94.92,262.25,"4,185.75",10.76,104.79,109.27,898.24,103.78,333.52
2018/5/30,38.44,66.88,102.98,27.04,22.38,43.19,282.34,34.07,111.96,15.74,213.23,92.62,257.53,"4,131.65",10.58,103.83,106.89,852.92,103.55,334.48
2018/5/31,38.31,68,102.03,27.52,22.76,43.82,284.19,34.63,115.28,15.98,216.12,95.59,256.58,"4,033.28",10.81,104.31,105.93,783.7,101.53,336.9
2018/6/1,38.44,68.84,103.93,27.91,22.91,43.48,288.82,34.44,115.75,15.79,216.12,93.58,262.25,"4,175.92",10.95,105.27,109.27,809.24,102.6,344.15
2018/6/4,40.11,69.86,104.88,28.29,23.34,43.86,291.6,34.44,117.17,15.83,220.95,96.46,264.62,"4,343.15",11,105.27,109.27,881.76,104.02,351.4
2018/6/5,39.72,69.77,103.93,28.44,23.44,44.44,298.54,34.4,115.28,15.83,220.95,96.94,263.2,"4,377.58",10.9,105.27,106.89,844.68,104.38,353.33
2018/6/6,39.37,70.6,103.93,28.87,23.39,44.78,295.3,35.29,117.65,15.74,221.91,95.98,264.62,"4,549.73",11,105.75,107.84,927.09,105.56,352.37
2018/6/7,39.32,70.23,104.4,28.72,23.53,45.31,291.13,35.53,118.12,15.93,221.91,96.94,264.62,"4,569.41",11.46,105.27,108.32,"1,013.61",108.05,345.6
2018/6/8,39.54,69.77,102.98,28.58,23.53,45.11,292.52,35.53,117.65,15.74,219.02,95.78,266.03,"4,471.03",11.23,105.27,108.32,972.41,104.61,334.48
2018/6/11,39.19,68.84,103.45,27.95,23.24,45.11,292.06,35.53,117.17,16.12,218.05,96.46,265.09,"4,475.95",11.28,104.79,111.18,997.13,103.55,335.93
2018/6/12,39.1,69.3,102.03,28.05,23.29,45.98,293.91,35.1,116.7,16.17,220.95,93.67,265.09,"4,367.74",11.37,104.79,109.75,935.33,103.9,333.03
2018/6/13,39.94,68.56,102.03,28.1,23.2,45.64,295.3,35.1,114.8,17.75,223.84,90.22,265.56,"4,653.02",11.37,105.27,111.66,931.21,104.02,335.45
2018/6/14,39.45,67.44,101.08,27.52,22.86,44.87,290.21,34.87,113.38,17.37,218.54,89.26,265.56,"4,544.81",11.14,104.31,108.79,890,101.3,332.55
2018/6/15,39.76,69.02,100.61,28.53,22.81,44.44,289.75,34.35,114.8,17.9,222.88,88.59,264.14,"4,515.30",11.18,104.79,108.32,935.33,100.7,340.77
2018/6/19,38.53,69.11,100.13,27.47,22.57,43.34,298.08,34.11,112.43,17.47,217.09,86.95,262.73,"4,279.21",10.81,104.31,105.45,852.92,98.33,338.35
2018/6/20,39.32,70.6,102.03,27.95,22.96,43.77,299,33.45,114.8,17.32,218.05,86.76,263.67,"4,333.31",11,105.27,105.93,832.32,98.33,334
2018/6/21,39.32,71.63,102.98,27.76,22.81,43.43,309.19,33.78,113.38,16.94,218.54,88.78,263.2,"4,421.85",10.58,104.79,105.45,813.36,97.98,331.1
2018/6/22,39.19,71.35,103.93,27.81,22.86,43.34,306.41,33.36,113.85,17.08,219.5,88.78,259.42,"4,298.88",10.44,105.27,105.45,776.28,97.5,322.88
2018/6/25,39.28,71.35,104.4,28.39,22.57,43.24,310.11,33.17,113.38,17.08,218,83.02,258.95,"4,367.74",10.48,104.79,104.98,782.05,96.56,319.98
2018/6/26,38.4,71.44,104.4,27.76,22.57,42.85,323.07,32.93,115.28,16.89,214.5,81.96,260.84,"4,451.36",10.34,104.79,103.07,852.92,95.96,326.27
2018/6/27,37.78,72.09,104.4,27.76,22.42,42.85,315.2,32.6,114.8,16.89,213,83.69,261.31,"4,289.05",10.3,104.79,102.59,840.56,95.85,321.43
2018/6/28,37.26,69.77,103.45,27.47,22.42,42.9,315.67,32.56,114.8,16.27,212,83,260.84,"4,289.05",10.11,105.27,102.11,869.4,95.37,322.88
2018/6/29,37.21,72,106.77,27.86,22.86,44.06,319.83,33.41,116.23,16.27,216.5,83.2,263.2,"4,416.93",10.2,105.27,104.5,927.09,98.57,329.65
2018/7/2,36.77,71.53,106.77,27.86,22.42,43.48,313.35,33.17,114.8,17.47,214,81,258,"4,485.79",10.2,104.79,104.5,"1,013.61",95.96,324.33
2018/7/3,37.57,71.25,107.25,28.48,22.42,42.95,314.28,32.93,116.7,17.23,214.5,81.8,260,"4,456.28",10.11,106.23,104,960.05,95.61,322.88
2018/7/4,36.91,71.72,108.2,29.69,22.67,43.77,318.91,33.45,115.5,17.23,216,80.9,260.5,"4,377.58",10.16,106.7,101.5,972.41,96.67,330.62
2018/7/5,36.95,71.63,107.72,29.78,22.62,43.58,316.13,33.5,119,17.23,214.5,78.1,261,"4,466.12",10.2,107.18,98.9,918.85,96.2,330.62
2018/7/6,36.55,72.56,103.93,30.36,22.67,42.85,320.76,33.05,116,16.89,217,79.3,258,"4,530.06",10.39,107.18,99.2,968.29,95.37,324.82
2018/7/9,37.57,73.3,105.35,31.18,22.76,43.34,325.39,33.65,117.5,16.94,221.5,81,261.5,"4,839.93",11,107.18,102,"1,020",95.73,328.68
2018/7/10,38,74.14,106.3,30.89,22.81,43.38,324,33.9,118,17,222,83.9,262.5,"4,761.23",10.95,107.66,102.5,"1,045",95.37,331.58
2018/7/11,37.04,74.51,106,30.75,22.86,43.48,326.77,33.45,119,16.9,220,83.6,254,"4,721.88",11.1,107.18,102.5,965,96.67,325.3
2018/7/12,37.52,73.95,106,30.85,22.96,44.2,324.92,34.15,118.5,17.45,220.5,86,257.5,"4,849.77",11.1,106.7,101.5,"1,005",96.2,334.97
2018/7/13,38.22,73.77,110,30.94,23.05,44.4,329.55,33.8,121,17.4,224.5,88.8,257.5,"4,957.98",11.15,106.7,105,998,98.21,346.08
2018/7/16,37.35,73.49,108.5,30.56,23.05,44.4,324,33.6,119,17.25,223.5,86,257.5,"4,957.98",11.05,106.7,104,962,98.1,351.88
2018/7/17,37.04,73.86,107,30.85,23.15,45.3,321.68,33.35,118.5,17.25,221.5,88.1,257,"4,913.71",11.2,107.18,102,904,98.21,348.02
2018/7/18,37.13,76.65,108.5,32.05,23.24,45.65,324.46,34.25,120.5,17.4,223,84,263.5,"4,938.30",11.25,107.18,105,860,99.64,354.3
2018/7/19,37.57,76.37,107.5,31.8,23.34,45.1,323.07,34.3,120,17.6,224.5,80.2,259.5,"4,972.73",11.25,106.7,103,892,100.94,361.55
2018/7/20,37.17,75.16,107.5,32.2,23.39,45.2,331.4,33.9,120.5,17.85,237.5,80.5,260.5,"5,184.24",11.4,106.7,103.5,812,101.06,354.3
2018/7/23,37.48,74.51,108.5,32.2,23.39,45.2,344.36,33.95,121,18.25,241,78.5,261.5,"5,090.78",11.5,106.5,104,843,101.3,353.82
2018/7/24,39.98,74.97,109.5,32.65,23.87,45.8,340.2,34.3,120.5,18.2,241,78.7,263.5,"5,115.38",11.4,105.5,104.5,893,100.94,365.42
2018/7/25,39.63,74.23,108.5,32.2,23.92,45.75,306.41,34.75,119.5,18.2,240.5,80.7,261,"5,139.97",11.4,105,103.5,925,100.33,365.42
2018/7/26,40.5,75.07,111,32.85,24.65,45.65,310.57,34.75,120,17.5,241,81,261,"5,115.38",11.3,105.5,104.5,915,101.3,360.1
2018/7/27,40.3,75.07,110.5,32.25,24.65,46.85,305.95,34.95,120,17.3,244.5,81.9,261,"5,174.40",11.35,105.5,108,933,100.94,363.97
2018/7/30,40.7,75.07,111.5,32.15,24.8,47,305.48,33.95,119,17.2,245.5,79.6,262.5,"5,095.70",11.45,106,104.5,840,102.15,363.48
2018/7/31,39.35,75.16,112.5,32.6,25,47.3,311.5,33.65,120.5,17.55,246,78.6,263.5,"5,066.19",11.5,106,106.5,781,101.67,363.97
2018/8/1,41.05,73.3,113,32.3,24.95,47.45,306,33.95,120.5,17.4,248,79.6,265.5,"4,967.82",11.45,106,107.5,795,102.03,370.73
2018/8/2,40.6,73.9,112,30.75,24.65,46.8,305.5,33.65,118.5,17.3,244.5,78.4,267,"4,923.55",11.2,105.5,106.5,716,100.45,351.88
2018/8/3,40.45,74.6,111.5,31.25,24.75,47.05,310,33.5,121,17.7,247,75.8,268,"5,046.51",11.4,106,108,730,101.67,358.65
2018/8/6,40.35,74.2,112.5,32.1,24.9,48.8,311,33.45,121.5,17.95,245.5,73.6,269,"5,046.51",11.45,106.5,107,724,102.64,359.13
2018/8/7,40.15,73.4,111,32,24.9,49.45,309,33.3,119,17.85,241.5,74.3,269,"4,933.39",11.6,106.5,108,788,102.4,363.97
2018/8/8,40.6,72.2,112,32.2,24.95,49.05,313,33.65,121,17.95,247.5,73.7,270,"4,977.65",11.7,107,109.5,742,103.12,362.03
2018/8/9,40.5,71,111.5,32.1,24.85,49,307,33.35,120,17.85,247,73.8,269.5,"5,017",11.6,107,108,720,103.37,361.55
2018/8/10,41.5,72.7,110.5,31.8,24.55,49.1,309.5,33.6,120.5,17.95,245,73.2,268,"4,997.33",11.35,107.5,106,651,104.22,365.42
2018/8/13,42.15,72.2,108,31.8,24.35,47.25,307,33.2,119.5,17.3,240.5,68.9,254.5,"4,554.65",11.2,106.5,105,597,101.67,351.88
2018/8/14,43.3,75,109.5,32.75,24.95,47.25,313,33.6,120.5,17.4,243.5,70.2,249.5,"4,554.65",11.3,107,106.5,637,98.63,351.88
2018/8/15,42.35,74.8,109,32.25,24.75,46.25,315.5,33.15,120.5,16.95,241.5,67.7,243,"4,382.50",10.9,107,105.5,610,98.39,350.92
2018/8/16,42,75.1,108.5,32.25,24.9,47.05,319,32.5,120.5,17.15,239,67.3,242,"4,520",11,106.5,103,663,98.51,355.75
2018/8/17,42.05,77,109,32.45,24.65,46.75,317.5,32.3,121,17.2,239.5,65,245.5,"4,430",11.05,107,105,630,98.39,349.47
2018/8/20,42,75.4,109,32.5,24.95,47.1,308,33.05,123.5,17.55,239.5,65.7,251,"4,590",11.3,107,105,662,98.27,348.5
2018/8/21,42.9,76.2,109,34.05,25,47.45,317.5,33.6,125,18,241,68.5,257,"4,700",11.25,108.5,105.5,673,98.27,354.3
2018/8/22,42.95,76.3,110,35.2,25.3,46.6,323,33.95,125,17.5,242,67.4,256.5,"4,490",11.2,108,106,650,99.12,348.02
2018/8/23,43.1,78,113.5,37.25,25.5,46.1,324,33.85,125,17.65,244.5,67.3,252.5,"4,485",11.35,108.5,106.5,628,99.24,352.37
2018/8/24,42.8,77.7,112.5,36,25.25,45.5,324,33.3,127,17.3,243.5,67.4,251.5,"4,505",11.2,107.5,104.5,643,98.39,348.5
2018/8/27,43.3,77.9,113.5,35.7,25.3,45.5,326.5,33.75,128,17.4,245,70.1,253,"4,615",11.3,108,105.5,695,98.27,352.85
2018/8/28,43.3,78.8,114,35.95,25.5,46.35,328,33.8,128,17.5,249.5,70.7,255,"4,765",11.25,108.5,112,675,98.51,356.23
2018/8/29,43.4,77.5,113.5,35.7,25.45,46.1,330.5,33.75,128,17.55,259,69.9,257.5,"4,760",11.3,108.5,118.5,705,98.76,360.1
2018/8/30,42,77.2,112,35.7,25.25,46.25,329.5,33.8,125,17.35,263.5,69.8,257,"4,745",11.4,107.5,121,696,98.15,360.1
2018/8/31,42.35,77.6,112.5,35.75,25.15,46.9,335,33.85,126,17.35,256,69.7,261.5,"4,705",11.45,108.5,123,698,97.66,363.97
2018/9/3,41.35,76.2,111,34.6,24.85,46.95,327.5,33.45,124.5,17.1,257,66.7,260,"4,690",11.45,108,121.5,629,97.18,363.48
2018/9/4,42.1,76.6,112.5,34.75,24.95,47.05,327,33.6,126.5,17.2,257.5,67.6,259.5,"4,890",11.5,108.5,124,630,97.18,360.1
2018/9/5,41.55,75,110.5,34.7,24.65,46.15,322,32.75,124,17,264,66.6,256,"4,890",11.3,108,122,611,97.18,357.68
2018/9/6,41.8,75.5,111.5,34.35,24.8,46.65,330,32.8,124,16.9,261,63.6,257.5,"4,640",11.15,107.5,121.5,595,96.21,353.82
2018/9/7,41.3,74.8,111.5,34.05,24.7,46.65,332.5,32.3,123.5,16.3,264,57.5,257.5,"4,730",10.95,108,120.5,545,94.27,348.5
2018/9/10,37.95,75.7,111.5,34.5,24.6,45.85,338,31.35,124.5,15.55,264.5,59.4,257.5,"4,360",10.5,108.5,119.5,532,91.11,338.35
2018/9/11,38,76.8,111,35.45,24.55,46.45,347,31.25,125.5,15.65,260,60.1,256,"4,340",10.65,110,118.5,546,94.27,339.8
2018/9/12,38.55,76.4,111,35.45,24.3,46.55,353,31.5,127.5,15.4,260.5,57.4,257.5,"4,210",10.7,110,116.5,528,93.42,331.1
2018/9/13,39.1,75,112.5,35.65,24.45,46.8,363,31.4,133,15.6,255,57.5,251.5,"4,110",10.6,109.5,116,508,92.2,338.83
2018/9/14,39.65,75.4,112,36.05,24.45,47.2,352.5,31.65,132,15.7,261,59.6,251,"4,405",10.75,108.5,116.5,534,94.51,346.08
2018/9/17,39.3,75.6,112.5,35.75,24.5,47.3,357,31.8,129.5,15.6,258,61.2,250.5,"4,285",10.65,108.5,120,533,94.39,348.5
2018/9/18,39.7,78.4,112.5,36.15,25,47.9,352,31.8,132.5,15.3,254.5,59.3,250.5,"3,860",10.55,110,120,501,91.96,344.5
2018/9/19,40.15,79,113,37,25.1,48.25,359,31.95,137,15.6,258,60,254.5,"3,865",10.55,110.5,119.5,479,92.69,352
2018/9/20,40.1,77.7,113.5,35.8,25,47.7,346.5,32.1,139,15.45,260,59.5,251.5,"3,800",10.3,110,120,490,91.72,337.5
2018/9/21,40.4,78.1,117.5,37.4,25.25,47.85,355,32.1,147,15.85,261.5,58.5,254.5,"3,870",10.4,109.5,119,514,91.96,339.5
2018/9/25,40.2,79.1,115.5,36.2,25.35,48.1,350.5,32.1,142,15.65,263.5,61.7,258.5,"3,730",10.45,109.5,120,506,92.33,336
2018/9/26,39.9,79.8,114.5,36,25.45,47.8,351.5,32.1,146,15.9,263.5,60.2,260,"3,770",10.65,109.5,119.5,490,93.78,337
2018/9/27,40.25,79.3,117,36.35,25.45,48.45,360,32.5,148,15.95,265,59.8,262.5,"3,780",10.7,110,125.5,466,95.48,338
2018/9/28,41.1,79.7,117,35.7,25.5,48,358.5,32.25,148,16.15,262.5,58.1,264,"3,635",10.6,110,131,459,96.09,336
2018/10/1,41.05,78.9,117.5,34.8,25.5,48.25,357.5,32.45,148.5,15.9,263,59.2,267.5,"3,740",10.7,110.5,129.5,470,96.94,342
2018/10/2,40.3,77.5,115,35.4,25.2,47.3,354,32,147,15.6,257.5,58.4,263,"3,790",10.6,109.5,128,458,94.75,335
2018/10/3,40.2,78.3,113,35.4,25.45,47,355,32.35,140,15.5,260,57.8,252,"3,720",10.6,109,125,451,94.39,326.5
2018/10/4,39.8,75.4,113,35.15,25.4,46.3,335,31.9,137.5,15.1,254,53.9,249,"3,710",10.3,108,123.5,446,92.45,321
2018/10/5,39.7,75.3,111,34.5,25.1,45.7,335.5,31.5,132.5,14.7,250,52.2,247.5,"3,440",10.15,109,118.5,403,91.72,316.5
2018/10/8,39.75,75.5,111.5,35.05,25.25,45.5,338,31.35,133,14.8,243.5,52.7,254.5,"3,510",10.2,108.5,114.5,404,91.6,321
2018/10/9,40.05,75.3,113.5,35.85,25.35,45.6,346,31.7,135,14.8,244,52.3,252,"3,590",10.1,109.5,117.5,423.5,91.36,308
2018/10/11,37.6,70.2,103,32.35,24.2,43.35,319,29.2,126.5,13.75,227.5,48.5,239,"3,235",9.11,108.5,111.5,388,85.05,277.5
2018/10/12,39,72.9,106,33.25,24.5,43.6,330.5,29.8,127,13.65,237,53.3,240,"3,555",9.67,108,118.5,415,87.23,289.5
2018/10/15,38.5,72.8,103.5,32.1,24.05,42.6,333.5,29.05,123,13.35,230.5,57.2,237.5,"3,480",9.45,106.5,117,410,85.53,286
2018/10/16,38.2,73.3,104,31.05,24.45,42.65,333,29.35,125.5,13.2,237,54.1,240,"3,330",9.34,107,119,419,85.41,305
2018/10/17,38.25,73.5,103,31.55,24.15,43.3,326,29.1,123,13.6,238.5,54.4,238.5,"3,330",9.32,107,117,418,82.62,313.5
2018/10/18,38,72.7,103,32.05,24.25,42.8,335,29.6,123,13.25,236.5,51.5,235,"3,315",9.26,107.5,119.5,421.5,82.62,313
2018/10/19,37.25,74.9,103,31.25,24.3,42.5,335,29.7,119.5,13.3,236,52.1,229,"3,415",9.45,106.5,118.5,394,82.62,312.5
2018/10/22,37.55,74.1,103,32.2,24.15,42.6,334,30.1,123,13.1,237,52.5,229,"3,505",9.4,107.5,122.5,390,82.62,315
2018/10/23,36,72.8,101.5,31.2,24.15,42.1,329.5,29.7,120.5,12.75,230,50.5,229,"3,335",9.23,106.5,120,366,82.62,304
2018/10/24,34.15,73.1,101,30.7,23.7,42.5,338,30.1,120.5,12.65,229.5,49.3,229,"3,385",9.31,107,123,349,82.62,306.5
2018/10/25,34,75,98.6,30.2,23.75,41.8,338,29.55,122,12.3,219.5,45.75,228,"3,290",9.16,108,121.5,315.5,82.62,301
2018/10/26,33.5,75.8,98.2,30,23.65,41.55,343,29.55,118.5,11.7,221,46,229,"3,210",9.01,109,121.5,324,76.2,296
2018/10/29,33.9,76.7,98.8,29.95,23.75,41.5,338,30.4,118.5,11.6,222.5,46.6,229,"3,295",9.28,109.5,119.5,320,75.5,298.5
2018/10/30,34.1,74.8,98.6,30.15,24.15,42.55,346.5,30.4,118.5,11.7,223,48.5,227,"3,165",9.42,108.5,125,298,76.4,298
2018/10/31,34.7,74.9,101,31.05,24.4,43.55,349,31.35,122,11.8,234,51.4,229,"3,350",9.37,109.5,130,315.5,78.8,311.5
2018/11/1,35.65,76.2,101.5,30.65,24.05,43.5,344.5,30.9,122,11.95,235.5,54.4,237,"3,335",9.46,107,130,347,79.9,303
2018/11/2,36.45,75.6,101,31.65,24.15,43.35,342,31.7,120.5,11.9,236.5,56.1,237,"3,525",9.38,106,129,345.5,81,299.5
2018/11/5,35.35,76.3,103,30.85,24.35,43.5,338.5,31.35,121.5,10.75,235,55.7,233,"3,435",9.41,105.5,129,340,80,290
2018/11/6,35.1,75.9,103,30.9,24.35,43.25,328,31.5,120.5,10.9,234.5,52.2,235,"3,220",10.05,106,127.5,308,77.3,267
2018/11/7,35.5,76,102.5,31.45,24.5,43.4,316.5,32.2,120,10.95,234,55.2,233.5,"3,280",10.1,107,130,331,77.9,270
2018/11/8,35.5,75,102,31.8,24.7,43.6,324.5,32.3,119.5,10.85,236.5,53.8,232,"3,200",10.1,107,130,324,76.6,262.5
2018/11/9,34.9,72.1,101,30.95,24.25,41.5,317.5,31.5,117,10.6,231,54.2,229.5,"3,080",10.1,107,128,329,76.1,268.5
2018/11/12,35.6,72.4,101,31.5,24.25,39.1,316.5,32.25,117,10.7,231.5,53.8,228,"3,050",10.1,106.5,128.5,310,76.2,264.5
2018/11/13,36.4,75,100,31.5,24.25,39.2,316,32.5,113,10.45,227.5,56.2,228,"3,200",10.1,107,129,311,74.4,256.5
2018/11/14,36.35,74.3,100,31.5,24.1,39.1,317,32.7,111,10.8,228.5,56.5,208,"3,190",10.15,107,130,306,73.3,255.5
2018/11/15,36.15,73.6,101,31.2,24.1,39.25,321,32.7,111,11.2,231,55.9,213.5,"3,095",10.2,107,127.5,312,74.5,249
2018/11/16,36.45,74.8,101,29.35,24.45,40.45,317,32.6,112,11,226,54.6,217.5,"3,130",10.2,106,128.5,310,74.3,253
2018/11/19,36.5,76.2,102,29.45,24.5,40,320,33.35,115,11.1,222,57.5,215,"3,235",10.25,106.5,127.5,317.5,73.4,264
2018/11/20,36.65,75.1,100.5,29.25,24.25,40.3,321.5,33.65,115,11,218,57.5,215,"3,315",10.05,107,125.5,321,71,262.5
2018/11/21,35.7,74.6,99.8,29.2,24.05,40.3,322,33.7,112,11,219,57.8,220,"3,345",10,107,125.5,340,70.6,256
2018/11/22,34.85,73.9,101,28.85,24.05,40.3,321,33.25,115,11.2,219,58,220,"3,275",10.05,107.5,121,332,69.5,245.5
2018/11/23,34.7,73.8,100.5,28.45,23.85,39.95,319.5,32.9,113.5,11.15,218.5,56.1,216.5,"3,310",9.96,108,120,319,70,241
2018/11/26,35.35,74.1,101,28.75,23.95,40.6,321.5,33.3,112.5,11.5,223,57.3,220,"3,450",10.1,107.5,122,327,71,247.5
2018/11/27,33.5,72.6,99,28.2,23.65,40.7,322.5,33.1,113,11.75,224,58,217,"3,485",10.2,107.5,126.5,340,70.7,242
2018/11/28,34.05,72.8,100,28.6,23.85,40.75,328,33.3,114,11.75,226.5,58.6,220.5,"3,475",10.35,107.5,128,357.5,73.1,250
2018/11/29,34.05,72.2,99.5,28.3,23.85,41.6,323.5,32.65,111,11.5,229,60.3,218,"3,515",10.35,106.5,128.5,359.5,72.4,252.5
2018/11/30,34.5,72.2,100,28.45,24,42.5,318,33.5,111.5,11.55,225.5,61,218,"3,370",10.25,107,130,370,71.9,264.5
2018/12/3,35.85,73.3,102,29.3,24.25,43.2,318.5,34.15,115.5,11.7,235,62.8,225,"3,705",10.45,106,130,407,74,283.5
2018/12/4,35.05,70.7,101.5,28.6,24.45,43.4,316.5,34.1,112.5,11.8,234,62,219.5,"3,500",10.6,106,130,401.5,73.4,268
2018/12/5,34.85,69.3,101,28.4,24.25,42.6,318,33.25,113,11.55,226,56.9,215.5,"3,370",10.4,106.5,129,388,71.6,263
2018/12/6,34.65,67.4,100,28.15,23.95,41.75,307,33.55,110.5,11.3,220,55,212,"3,035",10.1,106.5,127.5,349.5,69,237
2018/12/7,35.05,68.9,100.5,28.75,23.9,41.8,313,33.8,113,11.2,221,55.7,214,"3,100",10.2,107,127.5,356.5,69.1,236
2018/12/10,34.75,68.2,99.5,28.65,23.8,41.3,308,31.9,113,11.1,219,52.1,213.5,"3,055",10.1,107,126.5,323.5,67.7,219.5
2018/12/11,34.8,68.9,98.5,28.65,23.95,41.25,319.5,30.8,112,11,222.5,52.9,215.5,"3,175",10.2,107.5,128,332,68.4,217
2018/12/12,34.95,69.4,99,28.6,24.35,41.55,313,31.2,112.5,11.3,226.5,53.7,215,"3,345",10.15,107.5,128.5,338.5,71.2,227.5
2018/12/13,35.5,70.3,99.1,28.45,24.3,43,318.5,31.85,113,11.5,226,54.3,213,"3,320",10.2,107.5,131,314.5,73,230
2018/12/14,35.75,68.9,99.2,28.15,24.15,42.9,315,31.9,111,11.35,222.5,53.5,207,"3,260",10.1,107.5,131.5,320,71.5,225
2018/12/17,36,69.8,99.3,28.8,24.05,43,316,32.3,112.5,11.4,223.5,53.5,209.5,"3,300",10.05,107.5,131,321.5,71.1,225.5
2018/12/18,35.65,69.8,98,28.2,24.05,43,314.5,32.6,110.5,11.2,222.5,54.5,209.5,"3,250",9.99,106.5,132,320,70.8,222
2018/12/19,36,70.1,99.3,28.5,24.3,43.05,319.5,32.7,111.5,11.3,225.5,53.7,218,"3,320",10.05,107.5,132.5,320,71.8,228
2018/12/20,35.4,69.7,99.6,28.3,24.3,43.1,318.5,32.7,109.5,11.3,221,53.2,206,"3,225",9.98,107.5,133,314,71.5,224
2018/12/21,35.4,69.4,98.6,27.6,24.2,40,309.5,32.15,109,11.4,223.5,53.9,203.5,"3,270",9.9,107.5,128,328,71.4,225
2018/12/22,35.45,69.5,98.3,27.5,24.05,41,311,32.05,107.5,11.25,221.5,53.5,202,"3,240",9.97,108,128.5,322.5,70.9,223.5
2018/12/24,35.8,69,98.3,28.25,24.15,41.15,311,32.4,104.5,11.2,220,56,202.5,"3,270",9.81,107,128,331,71.4,227
2018/12/25,35.85,68,96.7,27.95,23.8,40.3,308.5,31.9,103,11.15,217.5,57,201,"3,165",9.62,106.5,127,328.5,70.7,221
2018/12/26,35.4,68.6,96.3,27.65,23.8,40.15,307,31.7,103,11.2,216.5,54.1,198.5,"3,125",9.48,106,126,314,70.2,221.5
2018/12/27,35.4,69.2,97.8,27.5,23.95,40.55,312,32.15,109.5,11.25,223,55.8,200,"3,135",9.71,106.5,127.5,321,70.8,225.5
2018/12/28,35.6,69.8,101,27.9,24.25,40.85,311,32.6,109,11.25,225.5,55,201.5,"3,215",9.72,113,129.5,319,70.8,225
